sender_bank,sender_account,receiver_bank,receiver_account,amount,timestamp
003,178914,005,374961,24284.831323939125,2024-04-24 08:47:17
002,825874,001,670542,46034.22980208373,2024-02-12 03:50:03
004,812665,003,171596,45273.77478642628,2024-03-27 18:36:03
001,661122,001,668392,27579.125699114786,2024-05-16 21:25:01
001,667884,002,826940,45788.64397136291,2024-04-24 19:40:10
001,666058,003,173205,32376.497363364186,2024-12-13 19:02:04
003,178920,002,822228,7305.333253878262,2024-06-01 18:36:03
003,174615,001,664175,21742.17658458553,2024-07-22 04:38:43
001,664587,001,663479,24019.21191378197,2024-12-07 14:52:19
004,816888,005,375407,19683.58555367431,2024-08-27 03:47:21
003,171954,003,175912,30041.170032880826,2024-03-11 04:39:05
001,665426,003,173018,20596.46833908313,2024-08-03 01:20:57
001,670395,004,819701,1457.1567518198462,2024-04-10 01:41:01
004,813900,002,824224,14206.758656401826,2024-01-22 14:43:45
002,829582,003,174756,33851.282001658845,2024-04-05 07:34:09
001,668214,002,828245,37156.69613765895,2024-03-22 21:36:27
001,667778,004,811827,12052.443222988282,2024-03-16 15:37:30
002,820962,003,173359,18488.96180399665,2024-02-09 05:10:03
005,376530,002,821554,35507.832429653805,2024-03-11 08:06:23
001,666722,002,829672,17997.752678443558,2024-11-28 23:16:33
003,177584,001,663140,30715.077208880197,2024-07-31 08:33:08
002,827200,002,826835,32531.17551633372,2024-03-22 09:22:52
004,816998,003,175303,20385.32351037124,2024-12-15 02:45:37
004,813351,001,663448,19312.501084821844,2024-03-21 18:43:20
003,173555,004,815238,30185.54429672197,2024-11-04 21:55:17
005,369990,004,813054,30185.54429672197,2024-01-04 21:04:44
002,825841,001,662147,30185.54429672197,2024-07-07 08:23:09
003,171490,001,666811,30356.075940828552,2024-05-02 00:06:43
001,663149,005,372839,15131.837482796353,2024-04-03 01:46:27
003,172530,004,814110,17746.70849150532,2024-05-31 14:27:26
005,377718,001,668637,39233.10686179769,2024-04-04 13:29:31
004,816939,002,821754,19039.931178164927,2024-10-29 13:34:38
004,812771,001,668792,38323.6773904476,2024-02-06 09:15:56
002,824862,004,814260,1165.8145570928623,2024-09-02 10:31:48
003,172278,001,662508,33608.85108700133,2024-10-24 00:53:41
004,819369,002,823478,9883.553428181183,2024-02-18 14:49:59
001,664921,003,174192,25265.804756529284,2024-04-15 10:35:49
002,821219,002,824970,33672.616170513866,2024-08-31 08:00:55
001,662844,005,372526,6605.535485021348,2024-06-12 08:25:52
004,814345,001,664132,12993.551356565822,2024-11-08 05:08:13
001,668296,005,373643,23584.73535699009,2024-11-02 21:44:28
002,820414,003,178076,20204.12094353927,2024-07-15 04:25:12
004,817060,004,819429,44548.50912106087,2024-11-12 15:51:30
004,812738,004,815225,39042.79609574778,2024-08-13 01:18:22
001,661974,003,174049,27046.366876256856,2024-12-25 19:22:01
005,377762,005,373435,29998.44540739721,2024-12-29 02:40:18
003,173561,004,815125,48534.84733369247,2024-04-03 08:39:56
001,668442,001,662381,38394.4323799474,2024-03-13 18:39:31
003,173509,003,179546,11525.223210598471,2024-08-22 07:17:53
003,175366,003,171656,11278.964700383602,2024-09-01 23:17:42
001,663225,003,180071,25726.5141348118,2024-01-04 14:05:35
004,813563,001,663363,23013.015330432816,2024-11-01 08:53:56
001,663753,002,827303,26341.79282824259,2024-12-23 00:22:08
004,814040,001,663090,42418.86483749466,2024-04-01 13:21:04
004,819043,004,816982,27888.871922067272,2024-11-30 14:34:30
001,663060,002,826757,10871.33041738374,2024-12-10 09:37:50
001,669539,005,377091,47928.60560078256,2024-06-11 02:55:54
002,827613,004,813050,42097.4022625634,2024-07-04 21:05:45
003,172002,003,175073,11274.82003373029,2024-04-20 16:07:36
005,376374,002,824018,91001.93040633036,2024-06-08 01:53:33
001,667873,005,369610,107954.7954040257,2024-06-09 22:53:33
004,819560,003,179664,80013.93347195911,2024-06-10 01:53:33
003,177283,003,177697,111252.6601614432,2024-06-09 05:53:33
001,661133,004,815605,89666.76542283379,2024-06-07 22:53:33
003,171685,003,171422,93137.24905490204,2024-06-09 09:53:33
005,372197,004,815248,94863.33874117256,2024-06-07 16:53:33
003,171613,004,817231,44343.08566898557,2024-06-29 13:43:30
002,828512,001,669683,49204.00858003917,2024-06-22 10:24:30
001,670832,001,669061,42277.680464008685,2024-12-12 00:51:14
001,661806,003,173802,5948.186750180503,2024-02-05 09:59:38
003,177702,005,372404,10309.773158436248,2024-09-12 20:33:18
003,174611,002,821129,39377.08400979831,2024-11-23 17:11:21
004,819278,004,813674,45864.85283026591,2024-03-17 11:02:21
005,370896,003,173000,47612.674405371705,2024-06-14 13:53:52
005,371432,003,179019,7547.389143174196,2024-08-15 16:47:44
003,173502,004,818667,26151.2414649213,2024-01-09 03:00:58
001,664870,002,825378,8457.572215135002,2024-09-16 15:26:56
005,368208,001,668931,31471.946382017035,2024-07-05 11:21:43
005,374142,001,669497,31636.57802162236,2024-09-14 15:53:33
001,666768,005,370258,31636.57802162236,2024-05-29 09:03:11
005,374009,003,174735,31636.57802162236,2024-04-09 16:21:53
001,666356,001,665674,26940.882632123776,2024-01-26 18:49:30
002,824692,003,174246,45633.37598094127,2024-06-17 16:52:34
002,823201,004,813830,16768.308045431208,2024-06-11 12:37:12
002,821993,004,815165,24667.84767683477,2024-08-11 01:17:41
002,823099,004,813419,37204.6815468944,2024-12-17 00:30:46
002,827066,005,373729,29406.163799970203,2024-06-12 17:50:33
003,171596,004,820304,6434.100291862907,2024-02-13 01:00:47
002,825125,002,821119,11204.174110612392,2024-06-12 00:56:48
001,668793,002,826581,43018.34336251532,2024-09-23 20:36:50
001,669111,001,667424,24103.04137088646,2024-03-23 12:22:44
005,373708,004,819616,47504.47900897553,2024-09-28 01:59:17
002,821101,001,668666,6163.122089251985,2024-03-13 13:06:24
001,661689,005,372401,4606.954593639497,2024-02-24 03:34:52
005,376798,004,815331,99049.4958171818,2024-12-14 14:53:58
002,830020,004,817328,113121.2435318447,2024-12-17 09:53:58
004,811005,004,811116,90441.96895744986,2024-12-14 19:53:58
004,813057,001,661847,95547.97629654364,2024-12-16 21:53:58
004,818611,004,811106,100226.30171066716,2024-12-14 23:53:58
004,812786,003,171161,88388.09412283506,2024-12-15 17:53:58
002,821074,004,817579,46605.38798188933,2024-08-16 19:08:57
003,173788,004,811709,11346.851261051275,2024-08-21 19:49:51
005,370584,001,668536,110178.70050869806,2024-04-04 14:02:49
002,826769,003,179215,89000.8886309511,2024-04-03 05:02:49
001,661355,004,813349,90281.07500564224,2024-04-02 08:02:49
003,178894,003,172449,101945.60510037203,2024-04-03 17:02:49
005,368042,001,666755,117972.21460429498,2024-04-03 10:02:49
005,370958,004,813792,108519.713774849,2024-04-03 15:02:49
004,817831,002,824413,690.3687324549157,2024-04-22 12:27:07
004,814710,002,826893,2816.421063463123,2024-03-31 17:12:27
005,376242,003,179401,39877.41189172163,2024-04-02 00:13:09
004,812782,002,828236,36743.36943905691,2024-03-25 12:41:26
003,180601,003,172813,30642.178640050257,2024-08-18 23:20:51
004,817708,004,811992,30642.178640050257,2024-01-17 19:45:29
002,823721,004,816605,30642.178640050257,2024-03-31 19:35:38
003,177539,004,816169,698.1687869328181,2024-09-10 10:04:47
003,179118,004,816531,11830.626289395272,2024-08-20 02:50:48
002,826053,004,814245,17428.446856945935,2024-07-01 21:08:41
005,370124,004,819052,881.6131344334249,2024-08-31 11:15:08
005,373856,003,171543,39869.28931215642,2024-12-03 21:49:29
001,665782,004,810979,12884.248619200229,2024-01-03 23:32:27
001,667659,005,375980,41839.66193028931,2024-01-28 06:40:29
002,827004,005,375310,8443.144981402684,2024-12-20 09:43:04
002,826283,005,370885,98098.87960874656,2024-09-11 04:56:34
001,666585,005,375750,93371.23140376326,2024-09-10 16:56:34
005,371250,004,814257,112081.90179631612,2024-09-11 07:56:34
005,371129,003,179155,83101.24148630256,2024-09-11 07:56:34
005,377545,004,814015,96091.81894064182,2024-09-11 06:56:34
003,175934,003,171960,87404.60073752604,2024-09-11 09:56:34
002,827323,005,371095,19698.86290582769,2024-10-22 20:02:22
003,174151,004,812630,10012.682990691128,2024-08-07 09:56:08
001,662431,003,179209,2792.3109251922183,2024-11-04 04:42:46
004,815029,003,173535,15997.660017596334,2024-03-02 20:45:04
001,662335,004,816499,26107.72955339411,2024-02-24 11:10:37
004,819813,003,175146,31982.28000476177,2024-08-13 05:40:52
004,814608,001,669615,7930.675994141019,2024-07-20 10:08:41
002,825355,005,372274,31897.168090897267,2024-05-09 20:57:38
005,370659,002,827867,42079.64405545419,2024-03-15 06:09:32
005,374553,001,663469,4909.867956906441,2024-12-19 21:44:13
002,823157,005,377021,35649.41951018497,2024-03-20 14:06:26
005,376292,003,178573,14433.405038252322,2024-03-15 01:38:22
004,810847,002,820135,4598.206305113323,2024-07-07 22:03:51
002,823397,001,661957,7807.229437601874,2024-10-03 19:34:36
003,180690,002,822057,5618.060385337728,2024-03-28 21:43:54
001,663017,004,818829,1253.191260507183,2024-12-01 10:51:31
005,374271,001,665183,28226.73126423988,2024-02-23 00:19:38
004,818352,004,816169,22037.237058022783,2024-09-08 08:34:37
002,829223,002,824399,17071.84424902559,2024-03-10 12:10:26
003,177254,002,824261,32305.262144331795,2024-10-31 05:42:26
004,813058,005,375282,30312.537455116595,2024-11-07 10:49:14
003,176062,005,377444,4325.3601533694255,2024-01-26 23:25:43
001,665042,004,814315,30393.222067457955,2024-11-18 12:46:27
005,376211,003,177043,30393.222067457955,2024-07-10 21:53:20
002,823094,005,369344,84190.86418307194,2024-12-20 14:29:49
004,811453,002,821063,116117.88732848866,2024-12-18 22:29:49
005,373934,002,824729,89292.48567724682,2024-12-20 15:29:49
002,827458,001,665032,116704.67772743164,2024-12-18 06:29:49
001,666393,001,668880,80821.71336903631,2024-12-19 04:29:49
005,373212,002,820767,114118.5731208936,2024-12-20 16:29:49
002,826905,005,368509,106836.84799806985,2024-12-20 06:29:49
002,827566,002,828861,115484.16824701296,2024-12-19 19:29:49
001,661400,004,820260,106869.72791058336,2024-12-20 15:29:49
004,813434,003,173578,84986.45468719196,2024-06-28 01:57:27
005,376420,002,825999,117103.23907617969,2024-06-27 09:57:27
005,369245,005,370987,84273.0066796514,2024-06-28 20:57:27
005,375450,001,662821,102766.25640359848,2024-06-28 17:57:27
004,814185,003,172657,119907.91302799965,2024-06-28 10:57:27
005,376991,004,819825,90305.3699104428,2024-06-28 15:57:27
001,665467,004,813739,89066.99681521612,2024-06-27 11:57:27
005,376795,001,669599,36570.39334711508,2024-08-03 15:49:17
003,173909,001,670848,10386.777139763992,2024-05-14 16:07:35
004,818530,002,825479,6216.382424130363,2024-12-16 19:08:52
001,666552,005,376326,35444.35958000386,2024-11-19 22:38:38
005,372718,003,179836,27009.867337969717,2024-12-11 23:58:34
001,661192,004,812580,7086.415032712267,2024-10-25 08:47:33
005,371193,002,827862,47828.3015039688,2024-05-30 01:09:41
001,669492,004,815897,15668.678542272311,2024-08-26 09:18:22
001,666111,001,668016,41894.9196015101,2024-08-07 12:09:37
001,665439,002,826862,18667.64273488384,2024-03-04 01:00:42
004,817648,005,376409,48569.39648779929,2024-07-31 17:31:44
001,661559,003,172745,8448.410125441973,2024-02-20 08:10:12
005,374141,004,815304,36147.33343772938,2024-12-12 20:36:17
003,178147,002,829688,49223.10668100079,2024-03-22 10:38:28
004,817468,001,664071,831.9500940822339,2024-12-07 09:43:49
005,370843,003,173314,31498.97940476779,2024-01-02 06:52:59
003,177806,005,371098,31591.59514202761,2024-11-06 05:43:03
001,666312,004,817710,31591.59514202761,2024-06-16 05:53:14
004,813326,004,818220,31591.59514202761,2024-10-10 01:42:18
004,814787,001,670193,47080.30225609141,2024-08-05 13:15:24
002,825594,005,375103,27733.350167135537,2024-08-31 18:27:23
005,377019,004,813429,8613.2856492631,2024-04-01 23:23:30
004,811819,003,178504,6770.903349871221,2024-11-27 09:06:53
005,368473,005,375081,13773.315965532069,2024-09-02 22:26:25
001,662104,004,819367,46712.44385948076,2024-07-04 15:09:32
005,377687,005,368094,3150.8603202041645,2024-11-22 23:07:36
002,821797,005,376885,32433.47678497908,2024-09-16 08:56:21
002,829456,001,670033,4707.8989295189,2024-10-27 23:10:14
003,178969,001,669223,30060.78743993665,2024-04-09 18:17:11
005,377837,004,818487,30254.39713955332,2024-01-23 00:56:17
002,822375,003,171457,13501.017847495208,2024-03-22 07:12:59
001,664667,003,171935,13766.68780154413,2024-08-09 11:42:53
002,822700,004,819691,33964.81427940519,2024-11-05 22:20:02
005,372168,003,178483,42520.006245843855,2024-05-25 19:48:05
005,368250,005,373983,6469.064427320239,2024-11-02 09:09:36
002,822964,005,373930,41722.82824240471,2024-07-25 07:47:48
002,828966,005,375566,2443.8629600742606,2024-03-11 17:35:46
002,823568,005,370671,15611.409378244856,2024-05-27 05:06:25
005,372600,004,810922,32492.289587223084,2024-09-13 23:53:52
003,179162,005,375841,38062.23576636411,2024-06-29 08:09:55
005,374339,002,823453,9843.238301451524,2024-11-18 21:41:44
004,818543,001,662648,30862.80928926906,2024-09-20 18:46:20
001,662366,002,830011,32703.158871180065,2024-04-28 22:58:46
004,816598,005,368938,3757.8493343925816,2024-10-28 22:10:36
004,820559,002,827322,35141.2561312733,2024-11-09 21:19:22
003,172991,003,177160,33552.31869598518,2024-12-07 18:03:41
004,817479,002,827380,4842.596217790883,2024-09-15 16:55:12
003,176156,003,175464,9710.631200017884,2024-03-31 06:26:06
002,825593,002,829882,8113.04898392648,2024-11-14 14:01:51
003,177055,001,670122,18698.25551033238,2024-05-03 14:12:52
005,374676,003,172118,33767.1278487019,2024-02-13 22:20:47
004,814398,001,663697,11168.01067043484,2024-12-13 07:35:24
002,820463,003,178201,17841.7052304136,2024-04-07 21:16:40
004,818488,004,814042,7366.357405366936,2024-06-25 08:49:13
005,373377,001,667078,43060.6149595751,2024-05-03 03:23:23
001,663960,002,823048,20776.01897676809,2024-04-29 07:19:57
001,670340,003,179645,632.1055287034371,2024-02-23 01:22:14
005,368126,004,816439,10121.672831113909,2024-03-12 03:36:18
001,669058,005,373037,43322.7538218761,2024-10-12 13:24:44
001,664633,005,371389,4010.6989238186015,2024-09-20 19:17:12
001,668683,005,371952,31526.893155425973,2024-11-11 17:25:14
004,813389,004,814098,30325.198274910745,2024-10-28 18:52:34
005,368466,001,663628,30325.198274910745,2024-10-25 07:25:57
005,369549,005,377653,30325.198274910745,2024-03-26 11:42:57
004,812421,003,179427,24670.902879847887,2024-10-30 05:08:08
004,811043,004,818074,16059.16365763147,2024-04-15 14:42:47
004,812415,002,829709,2710.969062210216,2024-03-31 11:58:34
001,663570,002,821021,43624.38273218391,2024-03-01 04:13:37
001,669908,005,373629,39613.13893186089,2024-05-27 22:23:39
001,668156,005,372426,28220.997720057272,2024-07-21 09:52:36
004,811664,005,373619,10600.31887740888,2024-12-20 13:53:14
004,814648,005,375138,29576.17562840401,2024-05-14 23:23:34
004,820392,002,825751,44247.041464775815,2024-12-09 01:24:40
002,826535,003,173284,38695.02413094426,2024-10-06 15:18:26
004,812218,001,663504,47396.573694276725,2024-09-14 20:48:44
002,822029,005,374690,34842.25121251045,2024-05-10 10:14:20
004,818044,001,668804,23818.130041347074,2024-09-20 10:41:02
005,372742,005,372145,8318.282267345421,2024-12-25 02:29:11
003,178472,004,813656,2220.760813118677,2024-09-12 16:37:51
001,669130,005,377763,4301.130608570289,2024-03-17 20:35:50
001,666326,002,822900,39009.75477263397,2024-01-31 19:50:47
004,816236,003,174446,12471.047558860204,2024-06-10 06:21:38
005,375439,003,178130,16229.72349320867,2024-12-01 00:47:52
003,176312,003,177652,46783.78023734266,2024-07-19 16:03:03
002,826286,001,670635,13279.239967639956,2024-06-04 04:02:36
005,368897,002,829384,44280.21641528636,2024-07-08 09:01:59
001,666587,001,670014,19896.014098923257,2024-01-19 19:58:00
002,826678,001,663131,18113.501078101835,2024-08-23 20:22:14
005,375799,004,814833,25015.51802031491,2024-12-23 00:15:14
001,662855,005,372966,39861.16523180721,2024-01-18 03:00:52
001,669457,001,670645,18411.00188072288,2024-10-07 02:34:20
001,663334,004,816004,25211.28302509966,2024-04-17 17:00:03
002,824266,005,370060,10734.377072055173,2024-01-29 14:13:10
001,661351,003,178801,10126.276845519367,2024-10-25 22:06:45
003,173341,005,377549,12812.5680088543,2024-04-16 17:50:06
001,667582,003,170919,12848.665167031762,2024-09-21 21:58:18
001,669059,002,828486,27749.36459854601,2024-01-10 15:32:52
001,669744,002,830059,2663.448894402863,2024-11-24 03:31:15
001,661446,005,374246,45329.25034867352,2024-08-14 02:10:57
004,819073,001,669283,18421.90818640146,2024-10-10 12:29:58
005,377767,003,178361,45041.92785291581,2024-08-01 23:23:55
003,171479,002,820323,20194.38500645481,2024-07-04 01:29:41
005,377079,003,174531,8048.698836539406,2024-06-26 14:37:23
005,372716,004,814756,34638.74701840318,2024-02-21 05:54:39
002,823438,005,371354,3279.622700538007,2024-03-22 16:51:46
001,667439,001,664302,24653.005919487543,2024-08-08 16:14:54
001,669807,001,665810,99493.34341224372,2024-03-15 16:37:16
001,666148,004,812025,82856.0028995153,2024-03-15 00:37:16
005,375007,001,668419,97326.39789412176,2024-03-15 07:37:16
004,812638,001,669737,110483.6730218198,2024-03-15 15:37:16
001,668786,004,817844,106838.46120321142,2024-03-14 15:37:16
002,826295,003,177501,88967.42215954838,2024-03-16 14:37:16
002,828125,004,812283,93216.62059986408,2024-03-15 13:37:16
003,172916,002,821335,30519.902569058413,2024-08-14 19:59:03
004,813633,002,830068,33567.3858518946,2024-04-07 03:13:29
004,814974,002,828087,29172.02713743103,2024-01-03 21:16:33
003,173675,002,823685,30416.32408904364,2024-05-19 16:04:17
001,664913,004,818347,46516.2296662638,2024-09-17 10:06:04
005,377671,002,820518,45360.51763608638,2024-07-16 23:33:17
002,823790,005,369961,1995.5445045081651,2024-04-06 04:10:37
004,817638,005,370066,9464.25808774092,2024-09-29 08:29:35
002,825501,005,373172,31154.434703899973,2024-05-09 16:58:46
002,827049,005,369029,31154.434703899973,2024-08-13 01:39:48
003,172753,005,374211,31154.434703899973,2024-03-20 06:57:16
002,823359,001,661931,49197.58526021356,2024-12-24 17:13:43
001,664455,001,667836,39840.89945935344,2024-11-17 11:13:11
001,663360,003,180788,32423.043192006404,2024-08-11 15:19:38
004,810862,002,829962,30308.15746099577,2024-01-21 23:14:43
002,823196,004,819753,30308.15746099577,2024-03-23 16:08:36
005,377718,004,814150,30308.15746099577,2024-05-12 18:02:08
002,825587,003,172404,44011.23333636623,2024-01-11 02:46:12
001,668411,005,372705,45429.3855365524,2024-05-23 01:05:24
001,671005,004,814008,32629.101632392336,2024-05-28 07:22:41
004,814166,005,371999,4756.417596000395,2024-01-02 20:49:25
005,373476,002,826987,26069.842174906837,2024-04-11 00:12:03
005,374493,001,661875,35759.45697883478,2024-09-01 08:35:28
003,172882,001,663104,27610.109952979063,2024-11-01 00:22:30
003,177121,001,667762,22690.69770040301,2024-06-28 15:36:55
001,665256,003,174807,8992.88312246658,2024-02-08 06:00:31
003,172504,005,370814,39160.44461782815,2024-06-07 22:52:54
004,811929,002,828034,44404.67092375159,2024-06-16 01:10:33
003,174674,001,665330,9765.727728846969,2024-09-11 20:44:19
003,174301,005,369613,11353.01130473243,2024-08-28 09:13:51
005,373604,001,664153,31539.54505313213,2024-01-25 08:52:58
005,369221,005,375670,31539.54505313213,2024-02-13 15:20:47
003,177975,005,368489,31539.54505313213,2024-05-09 19:53:20
005,375412,002,825528,6722.118377493224,2024-11-08 16:36:11
004,817357,002,826959,45463.60964268642,2024-12-12 10:06:04
005,377656,004,815675,114575.93032719634,2024-11-05 11:24:45
001,667949,005,369251,95278.8183999401,2024-11-07 11:24:45
002,821853,003,176282,98527.505761259,2024-11-06 23:24:45
001,662860,003,171309,95924.84814414589,2024-11-05 19:24:45
001,664363,003,173465,80099.71541683823,2024-11-06 11:24:45
001,663616,003,179970,82622.51651127705,2024-11-05 23:24:45
001,664263,002,822575,101374.54280383242,2024-11-05 18:24:45
003,180129,003,177394,108000.8599334094,2024-11-05 02:24:45
005,372339,004,813792,85929.66869771847,2024-11-06 03:24:45
002,824399,004,811262,16271.958003700349,2024-01-29 21:29:35
001,670441,002,823607,25109.465752277905,2024-08-29 23:45:11
001,670756,002,823814,15943.287715828235,2024-01-26 17:24:21
005,375638,001,667883,37523.83616387299,2024-07-20 19:07:09
002,828807,001,669018,10837.846694080908,2024-10-06 04:10:41
002,826856,005,376551,9001.681683755629,2024-10-10 04:00:35
002,824729,003,175950,40793.64405361122,2024-02-05 10:52:11
003,175993,002,823777,33278.38326040303,2024-10-09 16:10:21
003,178897,005,371356,30696.112189319992,2024-12-20 20:17:53
003,179505,003,177785,30696.112189319992,2024-07-05 01:48:44
004,819558,001,670183,30696.112189319992,2024-11-23 04:12:32
003,175541,005,368414,39761.63581463775,2024-02-15 03:24:23
001,669560,002,823479,28486.173682443525,2024-04-05 05:30:07
005,368174,003,179030,34935.8684864956,2024-08-01 23:19:51
002,821170,004,810872,31005.8256288137,2024-03-31 17:39:55
001,661490,001,670431,31005.8256288137,2024-03-19 23:29:09
002,828023,003,180686,31005.8256288137,2024-03-19 15:06:34
001,664638,005,372439,47851.700663298645,2024-10-20 19:41:44
004,816857,002,825920,49968.16694971567,2024-10-21 08:47:53
004,818250,002,821035,35482.811553337524,2024-05-22 21:28:10
003,173019,002,823346,48222.548165880326,2024-10-08 10:07:16
005,374641,002,821071,90658.52465931732,2024-08-16 22:38:22
004,816758,001,664128,90386.73138017104,2024-08-18 17:38:22
002,823018,005,377167,91898.14375303236,2024-08-17 21:38:22
001,664317,002,828862,95521.15428668344,2024-08-19 04:38:22
003,172316,001,665044,108600.86314720154,2024-08-18 16:38:22
001,661046,003,174111,111655.87965890646,2024-08-16 18:38:22
004,815242,003,179766,112511.93259312629,2024-08-17 23:38:22
002,825811,003,180837,108708.08211160846,2024-08-19 07:38:22
003,178127,005,377522,40596.75180885155,2024-07-22 18:30:40
005,375931,003,179452,17827.560135526906,2024-11-09 13:08:57
001,668327,001,661826,36597.08198592138,2024-05-29 10:26:56
005,369512,002,827694,49654.93847201141,2024-03-12 00:41:28
004,817838,005,371421,45384.443870978605,2024-01-24 01:56:52
003,176992,001,667380,107104.59273379017,2024-07-05 17:05:03
001,664088,005,375440,110540.58684525183,2024-07-04 09:05:03
003,175685,002,825823,104351.3336804219,2024-07-03 19:05:03
005,374230,002,821833,85730.20302457448,2024-07-05 07:05:03
002,821535,005,377632,87559.82070550477,2024-07-03 21:05:03
004,819435,004,812119,81797.30694255763,2024-07-04 07:05:03
004,818575,003,176555,108436.09037994996,2024-07-05 01:05:03
001,665513,004,813478,31372.325545871863,2024-06-03 20:32:50
003,174308,002,823295,31372.325545871863,2024-09-03 09:19:02
003,180106,001,664650,96080.28987991836,2024-01-09 02:05:09
002,826622,003,176118,93817.33722458487,2024-01-08 20:05:09
005,374376,005,372923,81242.68460933755,2024-01-08 14:05:09
002,822209,002,826934,106899.77224921488,2024-01-07 15:05:09
004,818756,004,818656,89684.3859099559,2024-01-09 21:05:09
001,666629,003,179046,81558.98859090492,2024-01-09 04:05:09
001,668626,004,813085,94581.41302644309,2024-01-07 23:05:09
002,828585,004,815544,84445.36530968736,2024-01-07 23:05:09
005,369824,003,176663,23610.50395330569,2024-03-05 18:52:05
003,173121,005,376085,2741.6395504439306,2024-07-16 06:05:51
